artist,title,year,date,TV
Big Scarr,MJ (feat. Quezz Ruthless),2022,2022-02-25,54.898483680287846
Big Scarr,Fantasy (feat. Offset),2022,2022-02-25,50.21065506931232
Big Scarr,The Regular,2022,2022-02-25,50.36443284555877
Big30,Flushed em,2022,2022-11-27,48.936750272628124
Big30,Fox 13 gang,2022,2022-09-07,47.13527604506098
Big30,Free the members,2022,2022-09-05,52.76812069530992
Kaliii,Wet,2022,2022-08-18,62.33903647005852
Kaliii,UonU (feat. Yung Bleu),2022,2022-02-11,36.099565007249865
Kaliii,Standards,2022,2022-03-08,44.13193885760258
KenTheMan,Feelin’ Sexy,2022,2022-03-04,44.04692737430165
KenTheMan,Join Em,2022,2022-03-04,44.45142580956984
KenTheMan,No Panties,2022,2022-06-03,46.62822458270104
Cochise,GRIND,2022,2022-06-24,66.40064048542052
Cochise,COOK UP,2022,2022-12-09,50.775510204081606
Cochise,DO IT AGAIN,2022,2022-06-24,40.97956730769226
KayCyy,THE SUN (Prod. Gesaffelstein),2022,2022-03-11,41.1845166748925
KayCyy,Hold you up (feat. Annahstasia & Steven Bamidele),2022,2022-06-02,31.852327447833066
KayCyy,Look What I Found (feat. Lancey Foux),2022,2022-06-02,51.86319404693762
Doechii,Persuasive,2022,2022-03-18,51.54249737670514
Doechii,Bitch I'm Nice,2022,2022-07-08,69.3019943019943
Doechii,Crazy,2022,2022-04-08,61.67994687915005
Saucy Santana,Bop Bop,2022,2022-11-30,60.72764184207715
Saucy Santana,MATERIAL GWORRLLLLLLLL!,2022,2022-08-05,58.60299991124523
Saucy Santana,Put Your Hands On My ____ (feat. Saucy Santana),2022,2022-02-24,60.708680142687285
BabyTron,Manute Bol,2022,2022-03-04,50.8323103363614
BabyTron,Beyond Turnt,2022,2022-03-04,55.8218307301126
BabyTron,8th Wonder of the World,2022,2022-10-28,51.21107266435986
Finesse2tymes,Shiesty (feat. Kaliii & Sexyy Red),2023,2023-06-23,61.44375902349389
Finesse2tymes,Can’t Go To Jail,2023,2023-09-01,66.35225692249337
Finesse2tymes,Out of State,2023,2023-03-03,64.55544329376104
Lola Brooke,Don't Play With It (feat. Latto & Yung Miami) - Remix,2023,2023-03-24,67.98758068469647
Lola Brooke,Conceited (feat. Lola Brooke & Maiya The Don),2023,2023-01-27,69.5014095851792
Lola Brooke,So DISRESPECTFUL,2023,2023-03-10,70.57778921631704
Rob49,I Believe You (Lick Me),2023,2023-06-09,73.23392116182572
Rob49,Viral (feat. Lil Durk),2023,2023-08-11,36.06345141556411
Rob49,Mama (with Skilla Baby & Tay B),2023,2023-08-11,50.41542040545033
Fridayy,Don't Give It Away (with Chris Brown),2023,2023-06-02,42.53320683111957
Fridayy,Countin' On You,2023,2023-05-17,28.08958816954691
Fridayy,Stand By Me,2023,2023-08-25,38.36963417212944
GloRilla,Lick Or Sum,2023,2023-05-23,102.0759493670886
GloRilla,On Wat U On (with GloRilla),2023,2023-01-12,66.22091958234108
